Questions,Answers
How to create an Entity?,"Step 1: Select Name your Change Unit., 
 Step 2: Name your Change Unit, 
 Step 3: Select Enter, 
 Step 4: Hover over the CU and Select edit Icon. 
 Step 5: Add Agent and assign Rights, 
 Step 6: Select Physical or Information Layer, 
 Step 7: Select Create Entity, 
 Step 8: Name Your Entity"
How to extract solutions from sources/files?,"Step 1: Select on the extract icon. 
 Step 2: Name the Solution, 
 Step 3: Select the file type
 Step 4: Add the file to be extracted
 Step 5: Browse the file and add the file
 Step 6: Select the file type - Doc, PDF, Image , Video
 Step 7: Select Extract"
What is the process of extracting a solution from a file?,"Step 1: Select on the extract icon. 
 Step 2: Name the Solution, 
 Step 3: Select the file type
 Step 4: Add the file to be extracted
 Step 5: Browse the file and add the file
 Step 6: Select the file type - Doc, PDF, Image , Video
 Step 7: Select Extract"
How can we add the saved entities in CUs?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Add from Library, 
 Step 3: Search for the Entity that you wish to add, 
 Step 4: Select + icon to add the Entity
 ."
How can I add the saved entities in a CU?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Add from Library, 
 Step 3: Search for the Entity that you wish to add, 
 Step 4: Select + icon to add the Entity
 ."
What is the procedure to add saved entities in CUs?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Add from Library, 
 Step 3: Search for the Entity that you wish to add, 
 Step 4: Select + icon to add the Entity
 ."
How do I add saved entities in a CU?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Add from Library, 
 Step 3: Search for the Entity that you wish to add, 
 Step 4: Select + icon to add the Entity
 ."
How to add multiple entities?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Add from Library, 
 Step 3: Search for the Entity that you wish to add, 
 Step 4: Select + icon to add the Entity
 ."
What are the steps to add  Attributes to an Entity?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute"
How can we add  the Attributes to an Entity?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute"
How to add Attributes in the solution?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute"
How can I add an Attribute?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute"
How do I use the UI controls?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute
 Step 6: Select Select UI Control
 Step 7: Choose UI control from the Dropdown 
 Step 8: Select + icon to add the UI Control"
How do we select the UI Control for an Attribute?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute
 Step 6: Select Select UI Control
 Step 7: Choose UI control from the Dropdown 
 Step 8: Select + icon to add the UI Control"
How to use the UI controls?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute
 Step 6: Select Select UI Control
 Step 7: Choose UI control from the Dropdown 
 Step 8: Select + icon to add the UI Control"
How can I select the UI controls?,"Step 1: Select Physical or Information Layer, 
 Step 2: Select Create Entity, 
 Step 3: Name Your Entity. 
 Step 4: Select +Attribute. 
 Step 5: Name your Attribute
 Step 6: Select Select UI Control
 Step 7: Choose UI control from the Dropdown 
 Step 8: Select + icon to add the UI Control"
How to open and edit my saved solutions?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next
 Step 3: Select the icon prompting Add From Library
 Step 4: Search for the solution
 Step 5: Select + icon to add the solution."
How can I edit the solutions that are published?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next
 Step 3: Select the icon prompting Add From Library
 Step 4: Search for the solution
 Step 5: Select + icon to add the solution."
How to edit the published solutions?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next
 Step 3: Select the icon prompting Add From Library
 Step 4: Search for the solution
 Step 5: Select + icon to add the solution."
How to edit a published solution?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next
 Step 3: Select the icon prompting Add From Library
 Step 4: Search for the solution
 Step 5: Select + icon to add the solution."
How can we create a GSI?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution or GSI, 
 Step 4: Select Next"
Where shall I enter my wish?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution or GSI, 
 Step 4: Select Next"
How to create GSI?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution or GSI, 
 Step 4: Select Next"
What is the procedure to create a GSI?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution or GSI, 
 Step 4: Select Next"
What are the steps to create a GSI?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution or GSI, 
 Step 4: Select Next"
How to save my solution in a Book?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution, 
 Step 4: Hover over Save, 
 Step 5: Select Save in a Book, 
 Step 6: Provide your Book Name or Add a pre-existing book from Library"
What are steps to save my solution in a Book?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution, 
 Step 4: Hover over Save, 
 Step 5: Select Save in a Book, 
 Step 6: Provide your Book Name or Add a pre-existing book from Library"
What is the procedure to save a solution in a Book,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution, 
 Step 4: Hover over Save, 
 Step 5: Select Save in a Book, 
 Step 6: Provide your Book Name or Add a pre-existing book from Library"
How to save solution in a book?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select Next, 
 Step 3: Name your solution, 
 Step 4: Hover over Save, 
 Step 5: Select Save in a Book, 
 Step 6: Provide your Book Name or Add a pre-existing book from Library"
How to directly Create a CU?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"
How to create a CU without creating a GSI ?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"
How can I directly create the CUs in the Library?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"
How can I directly create a Change Unit in the library?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"
How to create an Entity directly in the library?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Entity Icon.
 Step 3: Select create below the search
 Step 4: Create your Entity"
How can I create an Entity directly?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Entity Icon.
 Step 3: Select create below the search
 Step 4: Create your Entity"
How can I create an Entity before creating a CU?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Entity Icon.
 Step 3: Select create below the search
 Step 4: Create your Entity"
How to create an Entity at Library level?,"Step 1: Select the + Icon on the Library, 
 Step 2: Select the Entity Icon.
 Step 3: Select create below the search
 Step 4: Create your Entity"
How do I edit the content of the message or SMS after publishing the solution?,"Step 1: Select the Bulb Icon, 
 Step 2: Search the solution name on the search bar, 
 Step 3, Select the solution, 
 Step 4: Edit the content what you wish to, 
 Step 5: Select Submit
 ."
How to edit the DCD ?,"Step 1: Select the CU where DCD was added, 
 Step 2: Select DCD 
 Step 3: hover on the linked DCD 
 Step 4: Edit the DCD"
How do I delete or edit the DCD connections?,"Step 1: Select the CU where DCD was added, 
 Step 2: Select DCD 
 Step 3: hover on the linked DCD 
 Step 4: Edit the DCD"
How to delete a DCD?,"Step 1: Select the CU where DCD was added, 
 Step 2: Select DCD 
 Step 3: hover on the linked DCD 
 Step 4: Edit the DCD"
Can we edit a DCD After Giving One?,"Step 1: Select the CU where DCD was added, 
 Step 2: Select DCD 
 Step 3: hover on the linked DCD 
 Step 4: Edit the DCD 
 ."
What is the process to delete a DCD?,"Step 1: Select the CU where DCD was added, 
 Step 2: Select DCD 
 Step 3: hover on the linked DCD 
 Step 4: Edit the DCD 
 ."
